I,V
0,0
0.98,0
1.96,0
2.94,0
3.98,0
5,0
5.94,0
7.06,0
8.01,0.01
8.29,0.01
8.29,0.01
8.48,0.01
8.74,0.03
9.01,0.07
9.25,0.1
5.53,0.13
9.75,0.16
9.99,0.19
10.23,0.22
10.52,0.25
10.75,0.28
10.98,0.31
11.98,0.43
12.98,0.56
14.06,0.69
15.04,0.81
15.98,0.93
17.03,1.06
18.09,1.19
19.07,1.31
20.08,1.44
21.01,1.55
21.99,1.68
23.02,1.81
24.02,1.93
24.98,2.05
26.05,2.19
26.92,2.29
28,2.43
29.03,2.56
30.02,2.69
31.05,2.81
32.02,2.93
33.03,3.06
34.08,3.19
35.05,3.31
36.03,3.43
37.01,3.55
38.04,3.68
38.95,3.8
39.98,3.92
40.99,4.05
42.01,4.17
43.09,4.3
44.05,4.41
45.03,4.36
46.01,4.23
47,4.08
