I,V
0.17,0
0.98,0
2.08,0
3.09,0
4.05,0
5.05,0
6.03,0
7.02,0
8.00,0
8.27,0.05
8.51,0.07
9.05,0.11
9.99,0.19
11.06,0.28
12.05,0.37
13.03,0.46
13.99,0.54
14.97,0.63
16.02,0.73
16.98,0.82
18.04,0.92
19.04,1.01
19.98,1.10
20.99,1.20
22.02,1.29
22.99,1.39
24.03,1.48
25.05,1.59
25.98,1.68
27.02,1.78
28.08,1.87
29.05,1.97
29.99,2.07
31.02,2.17
32.00,2.26
33.01,2.36
34.04,2.47
34.99,2.56
36.03,2.65
37.05,2.76
38.02,2.86
39.04,2.94
40.05,3.04
41.03,3.15
42.02,3.24
43.00,3.33
44.05,3.44
45.06,3.53
46.06,3.63
46.98,3.72
48.03,3.83
49.04,3.93
50.00,4.01
